,FSC,SSC
P1_L23,27532,431
P1_L24,25992,505
P1_L25,43888,410
P1_M1,20012,291
P1_M2,42497,328
P1_M3,33938,350
P1_M4,43658,652
P1_M5,12930,136
P1_M6,NaN,NaN
P1_M7,28513,257
P1_M8,17342,206
P1_M9,NaN,NaN
P1_M10,22581,648
P1_M11,18870,104
P1_M12,13901,397
P1_M13,37881,299
P1_M14,13828,246
P1_M15,30016,478
P1_M16,26752,271
P1_M17,36922,311
P1_M18,36368,335
P1_M19,28772,805
P1_M21,31204,133
P1_M22,36924,487
P1_M23,13072,355
P1_M24,30065,324
P1_M25,44422,561
P1_N1,13189,586
P1_N2,32833,500
P1_N3,30914,329
P1_N4,21082,324
P1_N5,50271,581
P1_N6,38650,351
P1_N7,37255,444
P1_N8,37337,450
P1_N9,18496,57
P1_N10,37010,545
P1_N11,NaN,NaN
P1_N12,NaN,NaN
P1_N13,20863,419
P1_N14,NaN,NaN
P1_N15,NaN,NaN
P1_N16,19771,429
P1_N17,NaN,NaN
P1_N18,NaN,NaN
P1_N20,20127,279
P1_N21,37597,544
P1_N22,NaN,NaN
P1_N23,28475,308
P1_N24,43046,585
P1_N25,37448,493
P1_O1,36666,643
P1_O2,42124,491
P1_O3,37707,386
P1_O4,40380,545
P1_O5,13131,269
P1_O6,41327,735
P1_O7,43008,735
P1_O8,30085,586
P1_O9,27709,234
P1_O10,41857,416
P1_O11,37479,448
P1_O12,25309,193
P1_O13,29401,2244
P1_O14,21413,139
P1_O15,17544,242
P1_O16,41288,361
P1_O17,33924,547
P1_O18,38643,295
P1_O19,17475,2043
P1_O21,38822,449
P1_O22,31638,454
P1_O23,16505,213
P1_O24,46768,607
P1_O25,NaN,NaN
P1_P1,42916,483
P1_P2,29643,206
P1_P3,46817,758
P1_P4,42692,429
P1_P5,NaN,NaN
P1_P6,36058,459
P1_P7,37397,585
P1_P8,NaN,NaN
P1_P9,NaN,NaN
P1_P10,38079,564
P1_P11,20505,242
P1_P12,37018,442
P1_P13,26370,86
P1_P14,37504,465
P1_P15,19650,2285
P1_P16,30736,236
P1_P17,14206,449
P1_P18,16532,74
P1_P20,44296,420
P1_P21,42761,553
P1_P22,37113,530
P1_P23,37867,233
P1_P24,33793,430
P1_P25,19546,417
P2_A1,20551,431
P2_A2,9438,305
P2_A3,39162,498
P2_A4,6469,532
P2_A5,36827,462
P2_A6,12908,160
P2_A7,31378,412
P2_A8,8215,139
P2_A9,32805,170
P2_A10,22665,386
P2_A11,36739,303
P2_A12,17872,268
P2_A13,26443,291
P2_A14,8576,505
P2_A15,6776,193
P2_A16,39141,620
P2_A17,10476,159
P2_A18,22959,3109
P2_A19,10314,202
P2_A21,27763,282
P2_A22,16629,172
P2_A23,25186,124
P2_A24,19812,886
P2_A25,7363,439
P2_B1,33199,629
P2_B2,7790,322
P2_B3,6990,908
P2_B4,46542,369
P2_B5,11526,95
P2_B6,20377,245
P2_B7,7985,300
P2_B8,10906,277
P2_B9,17603,438
P2_B10,6627,147
P2_B11,8008,181
P2_B12,22639,2110
P2_B13,7092,331
P2_B14,15553,112
P2_B15,13119,106
P2_B16,27354,643
P2_B17,6986,209
P2_B18,39488,718
P2_B20,26648,463
P2_B21,10782,94
P2_B22,9230,271
P2_B23,NaN,NaN
P2_B24,39810,345
P2_B25,9346,129
P2_C1,14212,370
P2_C2,9265,95
P2_C3,10421,267
P2_C4,23705,523
P2_C5,18375,138
P2_C6,9854,635
P2_C7,9758,83
P2_C8,32820,509
P2_C9,15754,325
P2_C10,17381,107
P2_C11,21890,142
P2_C12,42676,488
P2_C13,8425,224
P2_C14,7267,572
P2_C15,8000,153
P2_C16,28533,666
P2_C17,NaN,NaN
P2_C18,16414,100
P2_C19,24582,848
P2_C21,8316,1348
P2_C22,22076,276
P2_C23,30976,77
P2_C24,32549,438
P2_C25,25419,265
P2_D1,32435,529
P2_D2,42141,717
P2_D3,13954,686
P2_D4,44165,941
P2_D5,25392,625
P2_D6,45070,649
P2_D7,15542,252
P2_D8,42388,570
P2_D9,32549,335
P2_D10,38965,319
P2_D11,34423,329
P2_D12,14780,1038
P2_D13,36264,321
P2_D14,21528,227
P2_D15,39114,541
P2_D16,33072,547
P2_D17,NaN,NaN
P2_D18,13902,1099
P2_D20,36378,393
P2_D21,37926,430
P2_D22,25346,441
P2_D23,24835,113
P2_D24,42886,726
P2_D25,32069,384
P2_E1,30968,553
P2_E2,25376,225
P2_E3,16864,2476
P2_E4,46966,695
P2_E5,43786,437
P2_E6,21666,283
P2_E7,39588,594
P2_E8,28912,410
P2_E9,21069,359
P2_E10,15410,176
P2_E11,21111,90
P2_E12,33790,374
P2_E13,18479,17
P2_E14,37906,490
P2_E15,24710,460
P2_E16,16039,64
P2_E17,39352,557
P2_E18,34616,597
P2_E19,NaN,NaN
P2_E21,NaN,NaN
P2_E22,11665,548
P2_E23,19166,283
P2_E24,25341,423
P2_E25,39287,410
P2_F1,13340,93
P2_F2,25435,176
P2_F3,19042,665
P2_F4,49157,519
P2_F5,43239,216
P2_F6,31478,536
P2_F7,39499,366
P2_F8,42955,526
P2_F9,16186,351
P2_F10,29884,317
P2_F11,30206,306
P2_F12,NaN,NaN
P2_F13,41980,449
P2_F14,37265,417
P2_F15,16833,22
P2_F16,37013,282
P2_F17,45095,749
P2_F18,17011,673
P2_F20,17803,86
P2_F21,21349,92
P2_F22,42632,446
P2_F23,41074,390
P2_F24,34527,266
P2_F25,39117,908
P2_G1,20877,1496
P2_G2,13789,624
P2_G3,14653,337
P2_G4,50704,793
P2_G5,41913,539
P2_G6,25975,20
P2_G7,13359,201
P2_G8,36157,685
P2_G9,51159,16
P2_G10,41129,397
P2_G11,28289,492
P2_G12,36270,444
P2_G13,14298,97
P2_G14,28356,301
P2_G15,44050,564
P2_G16,22272,89
P2_G17,43926,506
P2_G18,28944,490
P2_G19,22951,345
P2_G21,17231,117
P2_G22,59924,18
P2_G23,25135,40
P2_G24,43131,480
P2_G25,30374,475
P2_H1,34956,435
P2_H2,12274,625
P2_H3,38097,439
P2_H4,40929,506
P2_H5,30090,347
P2_H6,14060,127
P2_H7,29168,318
P2_H8,30626,122
P2_H9,14154,336
P2_H10,27012,350
P2_H11,42042,481
P2_H12,26015,48
P2_H13,17868,55
P2_H14,25559,813
P2_H15,34029,417
P2_H16,41868,416
P2_H17,21896,982
P2_H18,42448,385
P2_H20,NaN,NaN
P2_H21,19810,155
P2_H22,23945,114
P2_H23,44795,455
P2_H24,26555,231
P2_H25,20553,136
P2_I1,28046,263
P2_I2,26760,26
P2_I3,46144,547
P2_I4,29338,152
P2_I5,25182,280
P2_I6,16539,261
P2_I7,44144,556
P2_I8,31139,372
P2_I9,48493,403
P2_I10,NaN,NaN
P2_I11,NaN,NaN
P2_I12,36314,206
P2_I13,21540,485
P2_I14,16864,268
P2_I15,35375,700
P2_I16,37396,441
P2_I17,20044,528
P2_I18,20971,40
P2_I19,NaN,NaN
P2_I21,37333,683
P2_I22,32204,1037
P2_I23,20359,17
P2_I24,33246,367
P2_I25,31168,592
P2_J1,NaN,NaN
P2_J2,25110,700
P2_J3,33343,131
P2_J4,17143,345
P2_J5,14117,42
P2_J6,44550,503
P2_J7,40412,464
P2_J8,19354,110
P2_J9,30570,726
P2_J10,13991,150
P2_J11,45344,563
P2_J12,27483,368
P2_J13,11770,246
P2_J14,42432,567
P2_J15,15236,88
P2_J16,43433,401
P2_J17,43535,930
P2_J18,36447,359
P2_J20,25904,631
P2_J21,31810,443
P2_J22,15072,285
P2_J23,29245,454
P2_J24,31483,497
P2_J25,13819,283
P2_K1,35633,1142
P2_K2,30947,85
P2_K3,15618,96
P2_K4,33194,507
P2_K5,12679,189
P2_K6,NaN,NaN
P2_K7,21657,474
P2_K8,21250,153
P2_K9,38907,539
P2_K10,NaN,NaN
P2_K11,33757,534
P2_K12,30590,215
P2_K13,17916,33
P2_K14,15561,48
P2_K15,44693,336
P2_K16,30393,570
P2_K17,26503,662
P2_K18,12071,304
P2_K19,40742,506
P2_K21,36935,542
P2_K22,43778,596
P2_K23,41081,651
P2_K24,32431,384
P2_K25,42659,602
P2_L1,38885,569
P2_L2,14940,39
P2_L3,39744,624
P2_L4,18362,410
P2_L5,17637,90
P2_L6,11609,456
P2_L7,43389,542
P2_L8,55091,32
P2_L9,NaN,NaN
P2_L10,14324,267
P2_L11,24054,425
P2_L12,26450,519
P2_L13,NaN,NaN
P2_L14,35518,328
P2_L15,39746,468
P2_L16,17020,385
P2_L17,30498,1212
P2_L18,34946,218
P2_L20,28744,39
P2_L21,31193,1118
P2_L22,12192,352
P2_L23,24733,323
P2_L24,38923,560
P2_L25,36505,502
P2_M1,23176,624
P2_M2,38810,320
P2_M3,38124,279
P2_M4,20637,382
P2_M5,12575,238
P2_M6,40242,496
P2_M7,24253,67
P2_M8,38864,450
P2_M9,16818,87
P2_M10,25611,665
P2_M11,39511,578
P2_M12,35466,503
P2_M13,20693,1498
P2_M14,44929,550
P2_M15,33379,441
P2_M16,38992,339
P2_M17,NaN,NaN
